Star-rating,Name,Reviewer Profile Url,Review Title,Review Content,images,profile icon,Date
5.0 out of 5 stars,Rebecca D.,https://www.amazon.com/gp/customer-reviews/R2BH4B2MB1Q4E0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Delicious,These taste delicious abd I love that they are dark chocolate,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on January 17, 2023"
1.0 out of 5 stars,Another Angel,https://www.amazon.com/gp/customer-reviews/R2L3DBW12VGL1R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, No iron,Dark chocolate is supposed to be rich in iron and this has absolutely none. Makes me think it isn't really dark chocolate at all.,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on January 9, 2023"
5.0 out of 5 stars,Svenska Flica,https://www.amazon.com/gp/customer-reviews/R161KKKCXD2TD0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Perfect for gifts,This is the BEST truffle EVER????,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on January 5, 2023"
5.0 out of 5 stars,Michael Farber,https://www.amazon.com/gp/customer-reviews/R2UPOLR6OELUKU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Delicious but should be eaten occasionally.,"Actually, these candies are my wife's favorite, but I am guilty eating them too occasionally. They are very tasty and delicious desert.",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/085beebc-5cd6-4fb7-b8f3-31ee588eb9d8._CR0,1.0,999,999_SX48_.jpg","Reviewed in the United States on December 27, 2022"
5.0 out of 5 stars,Rangr90,https://www.amazon.com/gp/customer-reviews/R13XS0BCLD3RF6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, A+,A+,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on December 25, 2022"
5.0 out of 5 stars,Thomas C Sefranek,https://www.amazon.com/gp/customer-reviews/R1Z69OBTGCJD8V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, About as good as it gets.,I find a great acceptance with my friends and family.,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on December 24, 2022"
5.0 out of 5 stars,Lilly,https://www.amazon.com/gp/customer-reviews/R1HUCEP5PPME1G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Dark Chocolate!,These gourmet truffles are decadently rich with a smooth warmth which caresses the palate with absolute deliciousness. Will purchase again.,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/5c4ed58b-fcc9-40ce-a986-6fcda8137ce3._CR62,0,375,375_SX48_.jpg","Reviewed in the United States on December 22, 2022"
2.0 out of 5 stars,Amazon Customer,https://www.amazon.com/gp/customer-reviews/RU2MJ93K1UTGH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Chocolate does not look or taste fresh,Does not taste as good as it should,"https://m.media-amazon.com/images/I/71oV+BPUaML.88.jpg  
","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on December 9, 2022"
3.0 out of 5 stars,pika,https://www.amazon.com/gp/customer-reviews/RQ51VF2N7JOHH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Opened Shrinkwrap,"Product arrived with the shrink wrap opened. They taste good, but the chocolate is discolored (has white specks), even though the printed expiration date is 9/30/2023.",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on December 1, 2022"
3.0 out of 5 stars,W B Hopkins,https://www.amazon.com/gp/customer-reviews/R2LMX65FAV2GZU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Good but not dark chocolate,Very tasty milk chocolate. Disappointed that the truffles were not dark chocolate as advertised.,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on November 25, 2022"
